_id,movie_name,movie_year,movie_actors,movie_rating,movie_review_url
1187043,3 Idiots,2009,Rajkumar Hirani (dir.), Aamir Khan, Madhavan,8.3,https://www.imdb.com/title/tt1187043/reviews?ref_=tt_urv
0086190,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand (dir.), Mark Hamill, Harrison Ford,8.3,https://www.imdb.com/title/tt0086190/reviews?ref_=tt_urv
0986264,Taare Zameen Par,2007,Aamir Khan (dir.), Darsheel Safary, Aamir Khan,8.3,https://www.imdb.com/title/tt0986264/reviews?ref_=tt_urv
0114709,Toy Story,1995,John Lasseter (dir.), Tom Hanks, Tim Allen,8.3,https://www.imdb.com/title/tt0114709/reviews?ref_=tt_urv
0105236,Reservoir Dogs,1992,Quentin Tarantino (dir.), Harvey Keitel, Tim Roth,8.3,https://www.imdb.com/title/tt0105236/reviews?ref_=tt_urv
0086879,Amadeus,1984,Milos Forman (dir.), F. Murray Abraham, Tom Hulce,8.3,https://www.imdb.com/title/tt0086879/reviews?ref_=tt_urv
0361748,Inglourious Basterds,2009,Quentin Tarantino (dir.), Brad Pitt, Diane Kruger,8.3,https://www.imdb.com/title/tt0361748/reviews?ref_=tt_urv
0119217,Good Will Hunting,1997,Gus Van Sant (dir.), Robin Williams, Matt Damon,8.3,https://www.imdb.com/title/tt0119217/reviews?ref_=tt_urv
0022100,M,1931,Fritz Lang (dir.), Peter Lorre, Ellen Widmann,8.3,https://www.imdb.com/title/tt0022100/reviews?ref_=tt_urv
0180093,Requiem for a Dream,2000,Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto,8.3,https://www.imdb.com/title/tt0180093/reviews?ref_=tt_urv
0062622,2001: A Space Odyssey,1968,Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood,8.3,https://www.imdb.com/title/tt0062622/reviews?ref_=tt_urv
5074352,Dangal,2016,Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar,8.3,https://www.imdb.com/title/tt5074352/reviews?ref_=tt_urv
0052357,Vertigo,1958,Alfred Hitchcock (dir.), James Stewart, Kim Novak,8.3,https://www.imdb.com/title/tt0052357/reviews?ref_=tt_urv
0338013,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry (dir.), Jim Carrey, Kate Winslet,8.3,https://www.imdb.com/title/tt0338013/reviews?ref_=tt_urv
0033467,Citizen Kane,1941,Orson Welles (dir.), Orson Welles, Joseph Cotten,8.3,https://www.imdb.com/title/tt0033467/reviews?ref_=tt_urv
2106476,The Hunt,2012,Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen,8.3,https://www.imdb.com/title/tt2106476/reviews?ref_=tt_urv
0093058,Full Metal Jacket,1987,Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey,8.3,https://www.imdb.com/title/tt0093058/reviews?ref_=tt_urv
0053125,North by Northwest,1959,Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint,8.3,https://www.imdb.com/title/tt0053125/reviews?ref_=tt_urv
0066921,A Clockwork Orange,1971,Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee,8.3,https://www.imdb.com/title/tt0066921/reviews?ref_=tt_urv
0208092,Snatch,2000,Guy Ritchie (dir.), Jason Statham, Brad Pitt,8.3,https://www.imdb.com/title/tt0208092/reviews?ref_=tt_urv
0012349,The Kid,1921,Charles Chaplin (dir.), Charles Chaplin, Edna Purviance,8.2,https://www.imdb.com/title/tt0012349/reviews?ref_=tt_urv
0211915,Amélie,2001,Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz,8.2,https://www.imdb.com/title/tt0211915/reviews?ref_=tt_urv
0040522,Bicycle Thieves,1948,Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola,8.2,https://www.imdb.com/title/tt0040522/reviews?ref_=tt_urv
0086250,Scarface,1983,Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer,8.2,https://www.imdb.com/title/tt0086250/reviews?ref_=tt_urv
0045152,Singin' in the Rain,1952,Stanley Donen (dir.), Gene Kelly, Donald O'Connor,8.2,https://www.imdb.com/title/tt0045152/reviews?ref_=tt_urv
1302006,The Irishman,2019,Martin Scorsese (dir.), Robert De Niro, Al Pacino,8.2,https://www.imdb.com/title/tt1302006/reviews?ref_=tt_urv
0075314,Taxi Driver,1976,Martin Scorsese (dir.), Robert De Niro, Jodie Foster,8.2,https://www.imdb.com/title/tt0075314/reviews?ref_=tt_urv
0056172,Lawrence of Arabia,1962,David Lean (dir.), Peter O'Toole, Alec Guinness,8.2,https://www.imdb.com/title/tt0056172/reviews?ref_=tt_urv
